"(117,)","(96,)","(-1,)","(250,)","(250,)","(250,)","(250,)","(45,)","(45,)","(47,)","(45,)","(84.59044128013535,)"
"(120,)","(85,)","(-1,)","(250,)","(250,)","(250,)","(250,)","(53,)","(47,)","(51,)","(50,)","(84.59044128013535,)"
"(123,)","(78,)","(-1,)","(122,)","(250,)","(118,)","(250,)","(56,)","(53,)","(56,)","(53,)","(84.59044128013535,)"
"(124,)","(59,)","(-2,)","(123,)","(129,)","(121,)","(125,)","(63,)","(60,)","(60,)","(60,)","(84.59044128013535,)"
"(126,)","(44,)","(-3,)","(127,)","(131,)","(124,)","(127,)","(66,)","(66,)","(65,)","(66,)","(84.59044128013535,)"
"(130,)","(40,)","(-2,)","(130,)","(135,)","(127,)","(131,)","(70,)","(68,)","(68,)","(68,)","(84.59044128013535,)"
"(134,)","(36,)","(0,)","(134,)","(136,)","(130,)","(135,)","(72,)","(74,)","(72,)","(70,)","(84.59044128013535,)"
"(137,)","(26,)","(0,)","(138,)","(141,)","(134,)","(137,)","(72,)","(74,)","(74,)","(74,)","(84.59044128013535,)"
"(142,)","(26,)","(0,)","(136,)","(144,)","(138,)","(142,)","(80,)","(76,)","(74,)","(74,)","(84.59044128013535,)"
"(141,)","(3,)","(-2,)","(143,)","(146,)","(140,)","(142,)","(76,)","(78,)","(78,)","(80,)","(84.59044128013535,)"
"(146,)","(9,)","(-1,)","(142,)","(148,)","(143,)","(147,)","(80,)","(80,)","(78,)","(78,)","(84.59044128013535,)"
"(147,)","(3,)","(0,)","(144,)","(149,)","(143,)","(147,)","(80,)","(81,)","(81,)","(80,)","(84.59044128013535,)"
"(147,)","(0,)","(-1,)","(143,)","(147,)","(145,)","(147,)","(83,)","(86,)","(80,)","(83,)","(84.59044128013535,)"
"(149,)","(3,)","(1,)","(142,)","(148,)","(144,)","(150,)","(86,)","(86,)","(83,)","(80,)","(84.59044128013535,)"
"(146,)","(0,)","(0,)","(141,)","(148,)","(142,)","(147,)","(86,)","(86,)","(86,)","(86,)","(84.59044128013535,)"
"(146,)","(0,)","(0,)","(138,)","(148,)","(142,)","(147,)","(91,)","(86,)","(86,)","(86,)","(84.59044128013535,)"
"(146,)","(0,)","(1,)","(139,)","(145,)","(140,)","(146,)","(88,)","(88,)","(88,)","(86,)","(84.59044128013535,)"
"(142,)","(0,)","(-1,)","(134,)","(145,)","(139,)","(143,)","(95,)","(88,)","(88,)","(90,)","(84.59044128013535,)"
"(141,)","(1,)","(-1,)","(137,)","(144,)","(137,)","(141,)","(88,)","(88,)","(90,)","(91,)","(84.59044128013535,)"
"(140,)","(0,)","(-1,)","(135,)","(141,)","(136,)","(141,)","(90,)","(91,)","(91,)","(90,)","(84.59044128013535,)"
"(139,)","(1,)","(0,)","(133,)","(140,)","(135,)","(139,)","(91,)","(91,)","(90,)","(91,)","(84.59044128013535,)"
"(138,)","(1,)","(0,)","(132,)","(139,)","(133,)","(138,)","(91,)","(90,)","(93,)","(91,)","(84.59044128013535,)"
"(136,)","(1,)","(-2,)","(130,)","(136,)","(131,)","(137,)","(93,)","(95,)","(95,)","(93,)","(84.59044128013535,)"
"(136,)","(1,)","(0,)","(132,)","(138,)","(133,)","(137,)","(88,)","(90,)","(90,)","(91,)","(84.59044128013535,)"
"(135,)","(1,)","(-2,)","(128,)","(134,)","(133,)","(135,)","(93,)","(95,)","(88,)","(93,)","(84.59044128013535,)"
"(134,)","(1,)","(0,)","(128,)","(135,)","(130,)","(135,)","(90,)","(91,)","(91,)","(91,)","(84.59044128013535,)"
"(133,)","(1,)","(0,)","(126,)","(133,)","(129,)","(134,)","(91,)","(93,)","(90,)","(91,)","(84.59044128013535,)"
"(131,)","(1,)","(-2,)","(121,)","(132,)","(127,)","(132,)","(98,)","(93,)","(91,)","(93,)","(84.59044128013535,)"
"(131,)","(1,)","(-1,)","(124,)","(131,)","(126,)","(132,)","(90,)","(91,)","(91,)","(91,)","(84.59044128013535,)"
"(132,)","(0,)","(0,)","(123,)","(132,)","(127,)","(133,)","(91,)","(88,)","(88,)","(88,)","(84.59044128013535,)"
"(130,)","(0,)","(0,)","(122,)","(130,)","(124,)","(131,)","(91,)","(90,)","(91,)","(90,)","(84.59044128013535,)"
"(132,)","(0,)","(1,)","(119,)","(128,)","(125,)","(133,)","(95,)","(91,)","(88,)","(86,)","(84.59044128013535,)"
"(131,)","(0,)","(2,)","(124,)","(128,)","(123,)","(132,)","(86,)","(90,)","(91,)","(86,)","(84.59044128013535,)"
"(131,)","(0,)","(1,)","(120,)","(128,)","(126,)","(132,)","(90,)","(88,)","(86,)","(86,)","(84.59044128013535,)"
"(129,)","(0,)","(0,)","(122,)","(126,)","(122,)","(129,)","(86,)","(91,)","(91,)","(88,)","(84.59044128013535,)"
