"(49,)","(13,)","(35,)","(34,)","(31,)","(-30,)","(-14,)","(15,)","(1,)","(0,)","(1,)","(1,)","(0,)","(0,)","(0,)","(0,)","(1.76,)","(0.0,)","(4.78,)","(6.7,)","(49,)","(13,)","(35,)","('null',)"
"(50,)","(17,)","(41,)","(42,)","(31,)","(-30,)","(-13,)","(15,)","(2,)","(1,)","(2,)","(2,)","(0,)","(0,)","(0,)","(0,)","(0.93,)","(3.89,)","(5.94,)","(8.14,)","(50,)","(17,)","('null',)","('null',)"
"(54,)","(21,)","(46,)","(44,)","(30,)","(-29,)","(-13,)","(15,)","(2,)","(1,)","(2,)","(1,)","(0,)","(0,)","(0,)","(0,)","(4.11,)","(3.73,)","(5.76,)","(2.12,)","(54,)","(21,)","('null',)","(44,)"
"(51,)","(24,)","(52,)","(49,)","(30,)","(-29,)","(-13,)","(15,)","(2,)","(1,)","(2,)","(2,)","(0,)","(0,)","(0,)","(0,)","(-3.14,)","(2.74,)","(5.5,)","(4.94,)","(51,)","(24,)","('null',)","(49,)"
"(52,)","(28,)","(59,)","(56,)","(30,)","(-29,)","(-13,)","(15,)","(2,)","(1,)","(2,)","(3,)","(0,)","(0,)","(0,)","(0,)","(1.01,)","(4.13,)","(6.97,)","(6.96,)","(52,)","(28,)","('null',)","('null',)"
"(54,)","(28,)","(62,)","(62,)","(30,)","(-29,)","(-13,)","(15,)","(3,)","(1,)","(2,)","(2,)","(0,)","(0,)","(0,)","(0,)","(1.77,)","(0.62,)","(2.76,)","(5.68,)","(54,)","(28,)","(62,)","('null',)"
"(56,)","(32,)","(65,)","(65,)","(30,)","(-29,)","(-13,)","(15,)","(2,)","(2,)","(3,)","(3,)","(0,)","(0,)","(0,)","(0,)","(2.68,)","(3.14,)","(3.56,)","(3.56,)","(56,)","(32,)","(65,)","(65,)"
"(55,)","(35,)","(71,)","(70,)","(30,)","(-29,)","(-13,)","(15,)","(2,)","(1,)","(3,)","(2,)","(0,)","(0,)","(0,)","(0,)","(-1.18,)","(2.96,)","(5.85,)","(4.6,)","(55,)","(35,)","('null',)","(70,)"
"(55,)","(37,)","(75,)","(74,)","(30,)","(-29,)","(-13,)","(15,)","(2,)","(2,)","(3,)","(3,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(1.95,)","(4.04,)","(3.9,)","(55,)","(37,)","(75,)","(74,)"
"(55,)","(40,)","(80,)","(76,)","(30,)","(-29,)","(-13,)","(15,)","(2,)","(1,)","(3,)","(3,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(3.37,)","(4.53,)","(2.85,)","(55,)","(40,)","(80,)","(76,)"
"(46,)","(41,)","(81,)","(83,)","(30,)","(-29,)","(-13,)","(15,)","(2,)","(2,)","(3,)","(3,)","(0,)","(0,)","(0,)","(0,)","(-8.77,)","(0.62,)","(1.63,)","(6.41,)","(46,)","(41,)","(81,)","('null',)"
"(45,)","(43,)","(86,)","(86,)","(30,)","(-29,)","(-13,)","(15,)","(2,)","(1,)","(3,)","(4,)","(0,)","(0,)","(0,)","(0,)","(-0.81,)","(1.99,)","(5.32,)","(2.69,)","(45,)","(43,)","('null',)","(86,)"
"(49,)","(45,)","(90,)","(88,)","(30,)","(-29,)","(-13,)","(15,)","(1,)","(2,)","(4,)","(3,)","(0,)","(0,)","(0,)","(0,)","(3.41,)","(2.19,)","(3.44,)","(2.87,)","(49,)","(45,)","(90,)","(88,)"
"(45,)","(46,)","(90,)","(93,)","(30,)","(-29,)","(-13,)","(15,)","(2,)","(2,)","(3,)","(4,)","(0,)","(0,)","(0,)","(0,)","(-3.41,)","(1.59,)","(0.51,)","(4.68,)","(45,)","(46,)","(90,)","(93,)"
"(51,)","(48,)","(95,)","(97,)","(30,)","(-29,)","(-13,)","(15,)","(2,)","(2,)","(4,)","(3,)","(0,)","(0,)","(0,)","(0,)","(5.31,)","(1.7,)","(4.33,)","(3.99,)","('null',)","(48,)","(95,)","(97,)"
"(50,)","(50,)","(98,)","(96,)","(29,)","(-29,)","(-13,)","(15,)","(2,)","(2,)","(4,)","(4,)","(-1,)","(0,)","(0,)","(0,)","(-0.97,)","(1.83,)","(3.53,)","(-0.59,)","(50,)","(50,)","(98,)","(96,)"
"(52,)","(50,)","(100,)","(102,)","(28,)","(-28,)","(-13,)","(15,)","(2,)","(2,)","(3,)","(4,)","(-1,)","(0,)","(0,)","(0,)","(1.97,)","(0.0,)","(1.23,)","(5.59,)","(52,)","(50,)","(100,)","('null',)"
