"(75,)","(65,)","(156,)","(144,)","(21,)","(-21,)","(-6,)","(7,)","(28.69,)","(16.19,)","(64.91,)","(53.24,)","('null',)","('null',)","('null',)","('null',)","(43,)","(43,)","(84,)","(84,)"
"(70,)","(70,)","(108,)","(93,)","(6,)","(-5,)","(4,)","(-4,)","(-5.3,)","(4.6,)","(-48.02,)","(-51.12,)","(70,)","(70,)","(108,)","(93,)","(49,)","(49,)","(91,)","(87,)"
"(70,)","(97,)","(148,)","(136,)","(0,)","(2,)","(3,)","(-3,)","(0.0,)","(27.39,)","(39.3,)","(43.73,)","(70,)","('null',)","('null',)","('null',)","(57,)","(51,)","(93,)","(89,)"
"(66,)","(67,)","(74,)","(102,)","(5,)","(-3,)","(-5,)","(6,)","(-3.51,)","(-29.76,)","(-74.07,)","(-34.19,)","(66,)","(67,)","(74,)","(102,)","(59,)","(57,)","(90,)","(93,)"
"(70,)","(81,)","(83,)","(74,)","(14,)","(-14,)","(-12,)","(14,)","(3.51,)","(13.84,)","(9.26,)","(-28.49,)","(70,)","('null',)","(83,)","(74,)","(64,)","(62,)","(89,)","(89,)"
"(63,)","(60,)","(95,)","(117,)","(16,)","(-18,)","(-11,)","(12,)","(-6.68,)","(-21.03,)","(11.9,)","(43.57,)","(63,)","(60,)","('null',)","('null',)","(67,)","(65,)","(88,)","(89,)"
"(54,)","(53,)","(90,)","(90,)","(13,)","(-13,)","(-7,)","(7,)","(-9.07,)","(-7.27,)","(-4.84,)","(-27.25,)","(54,)","(53,)","(90,)","(90,)","(65,)","(62,)","(88,)","(89,)"
"(57,)","(51,)","(95,)","(90,)","(11,)","(-9,)","(-5,)","(6,)","(3.55,)","(-2.05,)","(4.84,)","(0.51,)","(57,)","(51,)","(95,)","(90,)","(63,)","(57,)","(85,)","(89,)"
"(56,)","(57,)","(90,)","(88,)","(12,)","(-10,)","(-8,)","(8,)","(-1.23,)","(6.69,)","(-4.84,)","(-2.02,)","(56,)","(57,)","(90,)","(88,)","(61,)","(57,)","(86,)","(88,)"
"(63,)","(63,)","(86,)","(90,)","(14,)","(-13,)","(-10,)","(9,)","(6.75,)","(5.52,)","(-3.44,)","(1.51,)","(63,)","(63,)","(86,)","(90,)","(60,)","(56,)","(88,)","(86,)"
"(95,)","(98,)","(90,)","(90,)","(18,)","(-18,)","(-11,)","(11,)","(31.75,)","(35.27,)","(3.44,)","(0.51,)","('null',)","('null',)","(90,)","(90,)","(58,)","(56,)","(90,)","(89,)"
"(63,)","(60,)","(95,)","(96,)","(21,)","(-21,)","(-11,)","(12,)","(-31.75,)","(-38.16,)","(4.84,)","(6.06,)","(63,)","(60,)","(95,)","(96,)","(58,)","(56,)","(91,)","(90,)"
"(67,)","(121,)","(98,)","(96,)","(28,)","(-27,)","(-13,)","(14,)","(4.3,)","(60.61,)","(3.53,)","(0.0,)","(67,)","('null',)","(98,)","(96,)","(61,)","(57,)","(92,)","(91,)"
"(57,)","(60,)","(100,)","(98,)","(34,)","(-33,)","(-14,)","(15,)","(-9.83,)","(-60.61,)","(1.86,)","(1.8,)","(57,)","(60,)","(100,)","(98,)","(61,)","(60,)","(93,)","(93,)"
"(50,)","(54,)","(104,)","(104,)","(33,)","(-33,)","(-14,)","(15,)","(-7.66,)","(-6.55,)","(3.95,)","(5.81,)","(50,)","(54,)","(104,)","(104,)","(60,)","(59,)","(95,)","(95,)"
"(52,)","(49,)","(106,)","(104,)","(27,)","(-27,)","(-13,)","(15,)","(1.97,)","(-4.67,)","(2.09,)","(0.0,)","(52,)","(49,)","(106,)","(104,)","(57,)","(55,)","(98,)","(98,)"
"(54,)","(52,)","(108,)","(106,)","(25,)","(-23,)","(-12,)","(15,)","(2.13,)","(2.9,)","(2.18,)","(2.09,)","(54,)","(52,)","(108,)","(106,)","(57,)","(55,)","(101,)","(100,)"
"(98,)","(78,)","(158,)","(183,)","(17,)","(-15,)","(-5,)","(7,)","(44.34,)","(26.14,)","(49.89,)","(77.24,)","('null',)","('null',)","('null',)","('null',)","(56,)","(53,)","(103,)","(101,)"
"(60,)","(76,)","(100,)","(100,)","(1,)","(0,)","(4,)","(-4,)","(-38.16,)","(-1.51,)","(-58.73,)","(-83.91,)","(60,)","(76,)","(100,)","(100,)","(54,)","(58,)","(103,)","(102,)"
"(106,)","(111,)","(156,)","(140,)","(-15,)","(16,)","(17,)","(-18,)","(46.06,)","(34.19,)","(56.86,)","(40.35,)","('null',)","('null',)","('null',)","('null',)","(54,)","(57,)","(104,)","(103,)"
"(90,)","(148,)","(95,)","(72,)","(-20,)","(20,)","(28,)","(-29,)","(-15.76,)","(37.04,)","(-61.62,)","(-68.28,)","(90,)","('null',)","(95,)","(72,)","(64,)","(59,)","(102,)","(95,)"
"(83,)","(82,)","(59,)","(58,)","(-15,)","(14,)","(32,)","(-33,)","(-7.58,)","(-66.1,)","(-35.98,)","(-13.25,)","(83,)","(82,)","(59,)","(58,)","(71,)","(70,)","(90,)","(84,)"
