"('rawRPM0',)","('rawRPM1',)","('rawRPM2',)","('rawRPM3',)","('rawAngle0',)","('rawAngle1',)","('rawAngle2',)","('rawAngle3',)","('desiredRPM0',)","('desireRPM1',)","('desiredRPM2',)","('desiredRPM3',)","('desiredAngle0',)","('desiredAngle1',)","('desiredAngle2',)","('desiredAngle3',)","('deltaAngle0',)","('deltaAngle1',)","('deltaAngle2',)","('deltaAngle3',)","('deltaRPM0',)","('deltaRPM1',)","('deltaRPM2',)","('deltaRPM3',)","('HighDeltaFilterRPM0',)","('HighDeltaFilterRPM1',)","('HighDeltaFilterRPM2',)","('HighDeltaFilterRPM3',)","('boxFilterRPM0',)","('boxFilterRPM1',)","('boxFilterRPM2',)","('boxFilterRPM3',)","('TeensyTimeMicroSeconds',)"
"(64,)","(62,)","(60,)","(63,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2.5,)","(-0.48,)","(2.64,)","(5.52,)","(64,)","(62,)","(60,)","(63,)","(57,)","(52,)","(51,)","(51,)","(996090,)"
"(65,)","(65,)","(66,)","(63,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.52,)","(3.56,)","(6.06,)","(0.0,)","(65,)","(65,)","(66,)","(63,)","(61,)","(56,)","(55,)","(55,)","(996141,)"
"(68,)","(70,)","(66,)","(68,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(3.92,)","(4.6,)","(0.0,)","(4.88,)","(68,)","(70,)","(66,)","(68,)","(62,)","(60,)","(58,)","(59,)","(996192,)"
"(71,)","(70,)","(68,)","(68,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2.46,)","(0.0,)","(2.3,)","(0.59,)","(71,)","(70,)","(68,)","(68,)","(64,)","(63,)","(61,)","(62,)","(996243,)"
"(72,)","(74,)","(72,)","(72,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.64,)","(3.9,)","(3.11,)","(3.76,)","(72,)","(74,)","(72,)","(72,)","(67,)","(67,)","(64,)","(65,)","(996294,)"
"(76,)","(76,)","(72,)","(72,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(4.85,)","(2.85,)","(0.66,)","(-0.66,)","(76,)","(76,)","(72,)","(72,)","(69,)","(69,)","(67,)","(67,)","(996345,)"
"(76,)","(76,)","(75,)","(75,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(2.74,)","(3.4,)","(76,)","(76,)","(75,)","(75,)","(71,)","(71,)","(69,)","(69,)","(996396,)"
"(80,)","(80,)","(78,)","(76,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(3.08,)","(3.08,)","(2.96,)","(1.45,)","(80,)","(80,)","(78,)","(76,)","(73,)","(74,)","(71,)","(71,)","(996447,)"
"(104,)","(81,)","(80,)","(78,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(24.17,)","(1.63,)","(1.57,)","(1.51,)","('null',)","(81,)","(80,)","(78,)","(75,)","(76,)","(74,)","(73,)","(996498,)"
"(83,)","(83,)","(81,)","(81,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-20.83,)","(1.7,)","(1.63,)","(3.2,)","(83,)","(83,)","(81,)","(81,)","(77,)","(78,)","(76,)","(75,)","(996549,)"
