"(75,)","(78,)","(80,)","(75,)","(90,)","(89,)","(89,)","(89,)","(4686,)","(8007,)","(8209,)","(4002,)"
"(74,)","(80,)","(83,)","(78,)","(97,)","(98,)","(97,)","(97,)","(4690,)","(8011,)","(8215,)","(4007,)"
"(216,)","(121,)","(80,)","(78,)","(113,)","(115,)","(114,)","(114,)","(4700,)","(8018,)","(8219,)","(4011,)"
"(85,)","(83,)","(81,)","(80,)","(109,)","(109,)","(109,)","(109,)","(4704,)","(8022,)","(8223,)","(4017,)"
"(91,)","(78,)","(83,)","(76,)","(124,)","(124,)","(123,)","(123,)","(4712,)","(8032,)","(8229,)","(4022,)"
"(72,)","(76,)","(81,)","(130,)","(136,)","(138,)","(138,)","(138,)","(4719,)","(8035,)","(8233,)","(4028,)"
"(85,)","(80,)","(75,)","(78,)","(133,)","(132,)","(132,)","(132,)","(4723,)","(8039,)","(8238,)","(4033,)"
"(75,)","(70,)","(81,)","(78,)","(133,)","(134,)","(133,)","(134,)","(4727,)","(8044,)","(8242,)","(4037,)"
"(80,)","(80,)","(81,)","(80,)","(133,)","(134,)","(134,)","(134,)","(4731,)","(8048,)","(8246,)","(4041,)"
"(83,)","(80,)","(81,)","(80,)","(133,)","(134,)","(134,)","(134,)","(4735,)","(8052,)","(8250,)","(4045,)"
"(78,)","(85,)","(83,)","(81,)","(133,)","(134,)","(134,)","(134,)","(4739,)","(8056,)","(8254,)","(4049,)"
"(83,)","(81,)","(83,)","(73,)","(133,)","(134,)","(134,)","(134,)","(4743,)","(8060,)","(8259,)","(4054,)"
"(80,)","(81,)","(81,)","(81,)","(133,)","(134,)","(134,)","(134,)","(4748,)","(8064,)","(8263,)","(4058,)"
"(80,)","(81,)","(83,)","(81,)","(133,)","(134,)","(134,)","(134,)","(4752,)","(8068,)","(8267,)","(4062,)"
"(83,)","(72,)","(83,)","(81,)","(133,)","(134,)","(134,)","(134,)","(4756,)","(8073,)","(8271,)","(4066,)"
"(81,)","(83,)","(74,)","(81,)","(133,)","(134,)","(134,)","(134,)","(4760,)","(8077,)","(8276,)","(4070,)"
"(80,)","(81,)","(83,)","(81,)","(133,)","(134,)","(134,)","(134,)","(4764,)","(8081,)","(8280,)","(4074,)"
"(85,)","(80,)","(83,)","(73,)","(133,)","(134,)","(134,)","(134,)","(4768,)","(8085,)","(8284,)","(4079,)"
"(81,)","(85,)","(83,)","(81,)","(133,)","(134,)","(134,)","(134,)","(4773,)","(8089,)","(8288,)","(4083,)"
"(83,)","(73,)","(81,)","(81,)","(133,)","(134,)","(134,)","(134,)","(4777,)","(8094,)","(8293,)","(4087,)"
"(80,)","(85,)","(85,)","(85,)","(133,)","(134,)","(134,)","(134,)","(4781,)","(8098,)","(8297,)","(4091,)"
"(85,)","(81,)","(83,)","(81,)","(133,)","(134,)","(134,)","(134,)","(4783,)","(8100,)","(8299,)","(4093,)"
"(81,)","(83,)","(83,)","(83,)","(133,)","(134,)","(134,)","(134,)","(4787,)","(8104,)","(8303,)","(4097,)"
"(95,)","(81,)","(81,)","(72,)","(133,)","(134,)","(134,)","(134,)","(4793,)","(8108,)","(8308,)","(4102,)"
"(83,)","(81,)","(81,)","(81,)","(133,)","(134,)","(134,)","(134,)","(4797,)","(8112,)","(8312,)","(4106,)"
"(81,)","(73,)","(81,)","(80,)","(133,)","(134,)","(134,)","(134,)","(4801,)","(8117,)","(8316,)","(4110,)"
"(88,)","(80,)","(80,)","(80,)","(133,)","(134,)","(134,)","(134,)","(4805,)","(8121,)","(8320,)","(4114,)"
"(81,)","(81,)","(85,)","(80,)","(133,)","(134,)","(134,)","(134,)","(4810,)","(8125,)","(8324,)","(4118,)"
"(95,)","(80,)","(71,)","(80,)","(133,)","(134,)","(134,)","(134,)","(4814,)","(8129,)","(8329,)","(4122,)"
"(81,)","(80,)","(81,)","(78,)","(133,)","(134,)","(134,)","(134,)","(4819,)","(8133,)","(8333,)","(4126,)"
"(83,)","(83,)","(81,)","(81,)","(133,)","(134,)","(134,)","(134,)","(4823,)","(8137,)","(8337,)","(4130,)"
"(78,)","(80,)","(83,)","(80,)","(133,)","(134,)","(134,)","(134,)","(4827,)","(8141,)","(8341,)","(4134,)"
