"(86,)","(63,)","(53,)","(68,)","(18,)","(-20,)","(-14,)","(15,)","(2,)","(3,)","(2,)","(3,)","(5,)","(6,)","(2,)","(2,)","(15.85,)","(-28.46,)","(6.55,)","(8.36,)","('null',)","('null',)","('null',)","('null',)"
"(47,)","(41,)","(55,)","(74,)","(23,)","(-26,)","(-14,)","(15,)","(2,)","(1,)","(2,)","(3,)","(5,)","(6,)","(0,)","(0,)","(-38.4,)","(-21.83,)","(2.22,)","(5.11,)","(47,)","(41,)","(55,)","('null',)"
"(105,)","(38,)","(62,)","(72,)","(29,)","(-31,)","(-14,)","(15,)","(3,)","(2,)","(2,)","(3,)","(5,)","(5,)","(0,)","(0,)","(57.64,)","(-3.57,)","(6.46,)","(-1.35,)","('null',)","(38,)","('null',)","(72,)"
"(60,)","(72,)","(104,)","(153,)","(27,)","(-30,)","(-11,)","(12,)","(2,)","(2,)","(4,)","(3,)","(-1,)","(0,)","(-2,)","(-2,)","(-44.66,)","(33.98,)","(42.56,)","(81.12,)","('null',)","('null',)","('null',)","('null',)"
"(74,)","(76,)","(96,)","(133,)","(22,)","(-26,)","(-6,)","(7,)","(2,)","(2,)","(4,)","(4,)","(-4,)","(-4,)","(-4,)","(-5,)","(13.47,)","(4.12,)","(-7.61,)","(-20.51,)","('null',)","(76,)","('null',)","('null',)"
"(54,)","(43,)","(74,)","(81,)","(17,)","(-20,)","(-1,)","(1,)","(2,)","(1,)","(3,)","(3,)","(-5,)","(-5,)","(-5,)","(-5,)","(-19.65,)","(-33.18,)","(-22.9,)","(-51.7,)","(54,)","(43,)","(74,)","(81,)"
"(47,)","(90,)","(76,)","(80,)","(12,)","(-14,)","(4,)","(-4,)","(1,)","(4,)","(2,)","(3,)","(-5,)","(-5,)","(3,)","(3,)","(-6.8,)","(47.38,)","(2.12,)","(-1.63,)","(47,)","('null',)","(76,)","(80,)"
"(68,)","(65,)","(111,)","(117,)","(6,)","(-9,)","(4,)","(-4,)","(3,)","(2,)","(3,)","(3,)","(-5,)","(-5,)","(0,)","(0,)","(21.35,)","(-25.35,)","(34.92,)","(37.65,)","('null',)","('null',)","('null',)","('null',)"
"(81,)","(55,)","(60,)","(80,)","(5,)","(-4,)","(0,)","(0,)","(3,)","(2,)","(2,)","(3,)","(-1,)","(-4,)","(-4,)","(-4,)","(12.67,)","(-9.49,)","(-50.51,)","(-37.65,)","('null',)","(55,)","(60,)","(80,)"
"(56,)","(56,)","(62,)","(62,)","(6,)","(-3,)","(-5,)","(5,)","(2,)","(2,)","(2,)","(2,)","(1,)","(0,)","(5,)","(5,)","(-24.9,)","(1.18,)","(1.41,)","(-17.98,)","(56,)","(56,)","(62,)","(62,)"
"(65,)","(57,)","(67,)","(67,)","(10,)","(-7,)","(-11,)","(11,)","(2,)","(2,)","(3,)","(3,)","(3,)","(3,)","(5,)","(5,)","(8.3,)","(1.23,)","(5.78,)","(5.78,)","('null',)","(57,)","('null',)","('null',)"
"(88,)","(60,)","(74,)","(76,)","(15,)","(-12,)","(-16,)","(16,)","(3,)","(2,)","(3,)","(2,)","(5,)","(5,)","(4,)","(5,)","(23.85,)","(2.64,)","(6.28,)","(8.39,)","('null',)","(60,)","('null',)","('null',)"
"(55,)","(51,)","(76,)","(76,)","(21,)","(-18,)","(-16,)","(17,)","(2,)","(2,)","(3,)","(3,)","(5,)","(5,)","(0,)","(1,)","(-33.33,)","(-9.32,)","(2.85,)","(0.73,)","(55,)","(51,)","(76,)","(76,)"
"(67,)","(45,)","(83,)","(83,)","(26,)","(-24,)","(-14,)","(15,)","(3,)","(2,)","(3,)","(4,)","(5,)","(5,)","(-1,)","(-1,)","(12.24,)","(-5.31,)","(6.41,)","(6.41,)","('null',)","(45,)","('null',)","('null',)"
"(80,)","(65,)","(86,)","(88,)","(31,)","(-29,)","(-13,)","(14,)","(3,)","(3,)","(3,)","(3,)","(5,)","(5,)","(-1,)","(-1,)","(12.2,)","(19.6,)","(3.62,)","(5.56,)","('null',)","('null',)","(86,)","('null',)"
"(52,)","(47,)","(88,)","(88,)","(33,)","(-32,)","(-13,)","(14,)","(2,)","(2,)","(4,)","(4,)","(1,)","(2,)","(0,)","(0,)","(-27.71,)","(-17.95,)","(1.93,)","(0.0,)","(52,)","(47,)","(88,)","(88,)"
"(56,)","(49,)","(90,)","(90,)","(31,)","(-30,)","(-13,)","(14,)","(2,)","(1,)","(3,)","(3,)","(-1,)","(-1,)","(0,)","(0,)","(4.45,)","(1.76,)","(2.02,)","(2.02,)","(56,)","(49,)","(90,)","(90,)"
