"('rawRPM0',)","('rawRPM1',)","('rawRPM2',)","('rawRPM3',)","('rawAngle0',)","('rawAngle1',)","('rawAngle2',)","('rawAngle3',)","('desiredRPM0',)","('desireRPM1',)","('desiredRPM2',)","('desiredRPM3',)","('desiredAngle0',)","('desiredAngle1',)","('desiredAngle2',)","('desiredAngle3',)","('deltaAngle0',)","('deltaAngle1',)","('deltaAngle2',)","('deltaAngle3',)","('deltaRPM0',)","('deltaRPM1',)","('deltaRPM2',)","('deltaRPM3',)","('HighDeltaFilterRPM0',)","('HighDeltaFilterRPM1',)","('HighDeltaFilterRPM2',)","('HighDeltaFilterRPM3',)","('boxFilterRPM0',)","('boxFilterRPM1',)","('boxFilterRPM2',)","('boxFilterRPM3',)","('TeensyTimeMicroSeconds',)"
"(65,)","(51,)","(51,)","(51,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-1.63,)","(3.66,)","(3.66,)","(3.66,)","('null',)","(51,)","(51,)","(51,)","(43,)","(41,)","(40,)","(40,)","(58701,)"
"(55,)","(54,)","(54,)","(55,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-9.49,)","(3.51,)","(2.77,)","(4.27,)","(55,)","(54,)","(54,)","(55,)","(46,)","(45,)","(44,)","(45,)","(58752,)"
"(78,)","(57,)","(57,)","(56,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(22.88,)","(3.18,)","(3.92,)","(1.18,)","('null',)","(57,)","(57,)","(56,)","(50,)","(48,)","(48,)","(48,)","(58803,)"
"(68,)","(62,)","(62,)","(61,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-9.47,)","(4.04,)","(4.04,)","(4.8,)","(68,)","(62,)","(62,)","(61,)","(55,)","(52,)","(52,)","(52,)","(58854,)"
"(76,)","(64,)","(64,)","(63,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(7.22,)","(2.5,)","(2.5,)","(1.95,)","(76,)","(64,)","(64,)","(63,)","(66,)","(55,)","(55,)","(55,)","(58905,)"
"(78,)","(65,)","(66,)","(66,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2.24,)","(0.52,)","(2.15,)","(3.17,)","(78,)","(65,)","(66,)","(66,)","(69,)","(58,)","(59,)","(58,)","(58956,)"
"(88,)","(68,)","(68,)","(68,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(10.46,)","(3.92,)","(2.3,)","(1.71,)","(88,)","(68,)","(68,)","(68,)","(73,)","(61,)","(61,)","(61,)","(59007,)"
"(97,)","(71,)","(71,)","(70,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(8.67,)","(2.46,)","(2.46,)","(1.8,)","(97,)","(71,)","(71,)","(70,)","(81,)","(64,)","(64,)","(64,)","(59058,)"
"(98,)","(70,)","(72,)","(70,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.2,)","(-1.25,)","(0.64,)","(0.0,)","(98,)","(70,)","(72,)","(70,)","(84,)","(66,)","(67,)","(66,)","(59109,)"
"(102,)","(74,)","(72,)","(74,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(3.8,)","(3.9,)","(0.66,)","(3.9,)","(102,)","(74,)","(72,)","(74,)","(89,)","(68,)","(68,)","(68,)","(59160,)"
