"(27,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(194,)","(200,)","(198,)","(199,)","(170,)","(170,)","(172,)","(172,)","(162.93847908568236,)"
"(20,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(192,)","(198,)","(191,)","(190,)","(175,)","(177,)","(172,)","(170,)","(162.93847908568236,)"
"(14,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(184,)","(187,)","(186,)","(185,)","(172,)","(172,)","(172,)","(170,)","(162.93847908568236,)"
"(10,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(180,)","(183,)","(182,)","(185,)","(172,)","(172,)","(172,)","(175,)","(162.93847908568236,)"
"(7,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(178,)","(180,)","(182,)","(179,)","(172,)","(172,)","(175,)","(172,)","(162.93847908568236,)"
"(5,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(171,)","(172,)","(176,)","(172,)","(166,)","(166,)","(170,)","(166,)","(162.93847908568236,)"
"(3,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(169,)","(170,)","(175,)","(174,)","(166,)","(166,)","(172,)","(170,)","(162.93847908568236,)"
"(2,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(169,)","(169,)","(169,)","(169,)","(166,)","(166,)","(166,)","(166,)","(162.93847908568236,)"
"(2,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(167,)","(167,)","(168,)","(168,)","(166,)","(166,)","(166,)","(166,)","(162.93847908568236,)"
"(3,)","(5,)","(0,)","(0,)","(0,)","(0,)","(0,)","(170,)","(171,)","(165,)","(170,)","(161,)","(161,)","(162,)","(161,)","(162.93847908568236,)"
"(8,)","(24,)","(7,)","(0,)","(0,)","(0,)","(0,)","(221,)","(197,)","(196,)","(196,)","(152,)","(156,)","(156,)","(156,)","(162.93847908568236,)"
"(12,)","(24,)","(7,)","(0,)","(0,)","(0,)","(0,)","(186,)","(197,)","(200,)","(200,)","(160,)","(156,)","(156,)","(156,)","(162.93847908568236,)"
"(18,)","(24,)","(0,)","(0,)","(0,)","(0,)","(0,)","(196,)","(198,)","(199,)","(199,)","(156,)","(156,)","(156,)","(156,)","(162.93847908568236,)"
"(26,)","(24,)","(-6,)","(0,)","(0,)","(0,)","(0,)","(230,)","(232,)","(227,)","(200,)","(152,)","(152,)","(152,)","(156,)","(162.93847908568236,)"
"(32,)","(42,)","(6,)","(0,)","(0,)","(0,)","(0,)","(211,)","(213,)","(209,)","(233,)","(156,)","(156,)","(156,)","(152,)","(162.93847908568236,)"
"(32,)","(24,)","(0,)","(0,)","(0,)","(0,)","(0,)","(183,)","(213,)","(182,)","(214,)","(161,)","(156,)","(161,)","(156,)","(162.93847908568236,)"
"(33,)","(42,)","(13,)","(0,)","(0,)","(0,)","(0,)","(216,)","(214,)","(239,)","(242,)","(156,)","(156,)","(152,)","(152,)","(162.93847908568236,)"
"(30,)","(24,)","(7,)","(0,)","(0,)","(0,)","(0,)","(190,)","(189,)","(191,)","(218,)","(161,)","(161,)","(161,)","(156,)","(162.93847908568236,)"
"(24,)","(5,)","(0,)","(0,)","(0,)","(0,)","(0,)","(184,)","(186,)","(183,)","(190,)","(161,)","(161,)","(161,)","(161,)","(162.93847908568236,)"
"(23,)","(24,)","(7,)","(0,)","(0,)","(0,)","(0,)","(178,)","(203,)","(185,)","(211,)","(161,)","(158,)","(161,)","(156,)","(162.93847908568236,)"
