"(19,)","(29,)","(1,)","(0,)","(0,)","(0,)","(0,)","(250,)","(97,)","(86,)","(89,)","(37,)","(38,)","(39,)","(39,)","(46.553851167337825,)"
"(22,)","(29,)","(0,)","(0,)","(0,)","(0,)","(0,)","(77,)","(95,)","(90,)","(91,)","(38,)","(38,)","(39,)","(39,)","(46.553851167337825,)"
"(29,)","(33,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(102,)","(77,)","(101,)","(36,)","(38,)","(38,)","(38,)","(46.553851167337825,)"
"(33,)","(29,)","(-1,)","(0,)","(0,)","(0,)","(0,)","(80,)","(71,)","(250,)","(100,)","(39,)","(39,)","(37,)","(39,)","(46.553851167337825,)"
"(34,)","(24,)","(0,)","(0,)","(0,)","(0,)","(0,)","(71,)","(83,)","(72,)","(99,)","(39,)","(39,)","(40,)","(40,)","(46.553851167337825,)"
"(32,)","(14,)","(-3,)","(0,)","(0,)","(0,)","(0,)","(86,)","(93,)","(75,)","(85,)","(39,)","(39,)","(41,)","(43,)","(46.553851167337825,)"
"(30,)","(19,)","(0,)","(0,)","(0,)","(0,)","(0,)","(72,)","(86,)","(81,)","(92,)","(43,)","(41,)","(41,)","(41,)","(46.553851167337825,)"
"(26,)","(19,)","(6,)","(0,)","(0,)","(0,)","(0,)","(72,)","(85,)","(76,)","(94,)","(43,)","(41,)","(43,)","(41,)","(46.553851167337825,)"
"(22,)","(8,)","(0,)","(0,)","(0,)","(0,)","(0,)","(92,)","(76,)","(75,)","(75,)","(40,)","(43,)","(43,)","(44,)","(46.553851167337825,)"
"(19,)","(8,)","(0,)","(0,)","(0,)","(0,)","(0,)","(72,)","(80,)","(69,)","(72,)","(44,)","(43,)","(44,)","(44,)","(46.553851167337825,)"
"(18,)","(8,)","(-2,)","(0,)","(0,)","(0,)","(0,)","(67,)","(70,)","(69,)","(69,)","(44,)","(44,)","(44,)","(44,)","(46.553851167337825,)"
"(19,)","(19,)","(4,)","(0,)","(0,)","(0,)","(0,)","(65,)","(76,)","(67,)","(84,)","(44,)","(43,)","(44,)","(41,)","(46.553851167337825,)"
"(18,)","(14,)","(2,)","(0,)","(0,)","(0,)","(0,)","(91,)","(76,)","(74,)","(77,)","(40,)","(43,)","(43,)","(43,)","(46.553851167337825,)"
"(20,)","(19,)","(0,)","(0,)","(0,)","(0,)","(0,)","(78,)","(80,)","(74,)","(82,)","(43,)","(42,)","(43,)","(41,)","(46.553851167337825,)"
"(21,)","(19,)","(2,)","(0,)","(0,)","(0,)","(0,)","(73,)","(91,)","(90,)","(85,)","(43,)","(40,)","(40,)","(41,)","(46.553851167337825,)"
"(23,)","(24,)","(3,)","(0,)","(0,)","(0,)","(0,)","(99,)","(77,)","(78,)","(92,)","(39,)","(43,)","(43,)","(40,)","(46.553851167337825,)"
"(23,)","(14,)","(-2,)","(0,)","(0,)","(0,)","(0,)","(100,)","(83,)","(74,)","(78,)","(39,)","(41,)","(43,)","(43,)","(46.553851167337825,)"
"(25,)","(19,)","(-1,)","(0,)","(0,)","(0,)","(0,)","(81,)","(86,)","(93,)","(84,)","(43,)","(41,)","(40,)","(41,)","(46.553851167337825,)"
